date_utc,indicator,type,source,tags,context,raw
2025-08-12T10:16:11Z,hxxps://redroademail[.]com/room[.]bak,url,urlhaus,clickfix,status=offline; threat=malware_download,"{""indicator"": ""https://redroademail.com/room.bak"", ""source"": ""urlhaus"", ""context"": ""status=offline; threat=malware_download"", ""date_utc"": ""2025-08-12T10:16:11Z"", ""tags"": [""clickfix""]}"
2025-08-12T10:16:11Z,hxxps://correctwion[.]click/ssl/,url,urlhaus,clickfix,status=offline; threat=malware_download,"{""indicator"": ""https://correctwion.click/ssl/"", ""source"": ""urlhaus"", ""context"": ""status=offline; threat=malware_download"", ""date_utc"": ""2025-08-12T10:16:11Z"", ""tags"": [""clickfix""]}"
2025-08-12T10:16:11Z,hxxps://api[.]centinyxlivetagfile[.]com/,url,urlhaus,clickfix,status=offline; threat=malware_download,"{""indicator"": ""https://api.centinyxlivetagfile.com/"", ""source"": ""urlhaus"", ""context"": ""status=offline; threat=malware_download"", ""date_utc"": ""2025-08-12T10:16:11Z"", ""tags"": [""clickfix""]}"
2025-08-12T10:16:11Z,hxxps://proprtrmsvstr[.]world/,url,urlhaus,clickfix,status=offline; threat=malware_download,"{""indicator"": ""https://proprtrmsvstr.world/"", ""source"": ""urlhaus"", ""context"": ""status=offline; threat=malware_download"", ""date_utc"": ""2025-08-12T10:16:11Z"", ""tags"": [""clickfix""]}"
2025-08-12T10:16:11Z,hxxp://95[.]164[.]55[.]176:5554/kalik[.]bat,url,urlhaus,clickfix,status=offline; threat=malware_download,"{""indicator"": ""http://95.164.55.176:5554/kalik.bat"", ""source"": ""urlhaus"", ""context"": ""status=offline; threat=malware_download"", ""date_utc"": ""2025-08-12T10:16:11Z"", ""tags"": [""clickfix""]}"
2025-08-12T10:16:11Z,hxxps://jfbd[.]com/f/c,url,urlhaus,clickfix,status=offline; threat=malware_download,"{""indicator"": ""https://jfbd.com/f/c"", ""source"": ""urlhaus"", ""context"": ""status=offline; threat=malware_download"", ""date_utc"": ""2025-08-12T10:16:11Z"", ""tags"": [""clickfix""]}"
2025-08-12T10:16:11Z,hxxps://www[.]jfbd[.]com/f/f,url,urlhaus,clickfix,status=offline; threat=malware_download,"{""indicator"": ""https://www.jfbd.com/f/f"", ""source"": ""urlhaus"", ""context"": ""status=offline; threat=malware_download"", ""date_utc"": ""2025-08-12T10:16:11Z"", ""tags"": [""clickfix""]}"
2025-08-12T10:16:11Z,hxxps://pub-80d00a1328be4388a2740834b68ae87f[.]r2[.]dev/jjjllly4[.]rga,url,urlhaus,clickfix,status=offline; threat=malware_download,"{""indicator"": ""https://pub-80d00a1328be4388a2740834b68ae87f.r2.dev/jjjllly4.rga"", ""source"": ""urlhaus"", ""context"": ""status=offline; threat=malware_download"", ""date_utc"": ""2025-08-12T10:16:11Z"", ""tags"": [""clickfix""]}"
2025-08-12T10:16:11Z,hxxps://pub-4ca1012140f74fd68c1b825e8f00db61[.]r2[.]dev/ProfilesEncyclopedia[.]exe,url,urlhaus,clickfix,status=offline; threat=malware_download,"{""indicator"": ""https://pub-4ca1012140f74fd68c1b825e8f00db61.r2.dev/ProfilesEncyclopedia.exe"", ""source"": ""urlhaus"", ""context"": ""status=offline; threat=malware_download"", ""date_utc"": ""2025-08-12T10:16:11Z"", ""tags"": [""clickfix""]}"
2025-08-12T10:16:11Z,hxxps://eu2[.]contabostorage[.]com/2dbce46599db434a89694f6303ce6d08:ghekr/Latest-V5-The-GoogIe%20Captcha-Continue[.]html,url,urlhaus,clickfix,status=offline; threat=malware_download,"{""indicator"": ""https://eu2.contabostorage.com/2dbce46599db434a89694f6303ce6d08:ghekr/Latest-V5-The-GoogIe%20Captcha-Continue.html"", ""source"": ""urlhaus"", ""context"": ""status=offline; threat=malware_download"", ""date_utc"": ""2025-08-12T10:16:11Z"", ""tags"": [""clickfix""]}"
2025-08-12T10:16:11Z,hxxps://adrianfrieg[.]com/go/install[.]sh,url,urlhaus,clickfix,status=offline; threat=malware_download,"{""indicator"": ""https://adrianfrieg.com/go/install.sh"", ""source"": ""urlhaus"", ""context"": ""status=offline; threat=malware_download"", ""date_utc"": ""2025-08-12T10:16:11Z"", ""tags"": [""clickfix""]}"
2025-08-12T10:16:11Z,hxxps://adrianfrieg[.]com/go/update,url,urlhaus,clickfix,status=offline; threat=malware_download,"{""indicator"": ""https://adrianfrieg.com/go/update"", ""source"": ""urlhaus"", ""context"": ""status=offline; threat=malware_download"", ""date_utc"": ""2025-08-12T10:16:11Z"", ""tags"": [""clickfix""]}"
2025-08-12T10:16:11Z,hxxps://apple[.]blogofficial[.]com/storage,url,urlhaus,clickfix,status=offline; threat=malware_download,"{""indicator"": ""https://apple.blogofficial.com/storage"", ""source"": ""urlhaus"", ""context"": ""status=offline; threat=malware_download"", ""date_utc"": ""2025-08-12T10:16:11Z"", ""tags"": [""clickfix""]}"
